,organization_id,name,users.TOTAL,territories,percent
2751,3316,Centre Social Lounès Matoub,1.0,93,0.06105006105006105
2055,2481,Accueil de jour Wilson,1.0,93,0.06105006105006105
2753,3318,PIJ Centre ville - Montreuil,1.0,93,0.06105006105006105
2056,2482,Solidarité Migrants Wilson,1.0,93,0.06105006105006105
1616,2029,Ville de Garches,1.0,92,0.06105006105006105
2757,3322,ADEPAPE 95,1.0,95,0.06105006105006105
2057,2483,Wicasaya,1.0,93,0.06105006105006105
2759,3324,Centre Social du Pont du Routoir,1.0,78,0.06105006105006105
2058,2484,Mission Locale de la Lyr,1.0,93,0.06105006105006105
2761,3326,Association La P’tite Echoppe,1.0,92,0.06105006105006105
2762,3328,Association APME Médiation,1.0,78,0.06105006105006105
2060,2486,Epicerie Bondy Solidarités,1.0,93,0.06105006105006105
1627,2041,Association «La Courte Echelle»,1.0,92,0.06105006105006105
2746,3311,Croix-Rouge des Hauts-de-Seine - Unité locale de Colombes,1.0,92,0.06105006105006105
1629,2043,Association Auxilia,1.0,92,0.06105006105006105
2732,3296,Association Conjugue 95,1.0,95,0.06105006105006105
2730,3294,Croix-Rouge des Hauts-de-Seine - Unité locale de Chaville,1.0,92,0.06105006105006105
1651,2066,AIME Jeunesse et Entraide,1.0,92,0.06105006105006105
1650,2065,ASSOL,1.0,92,0.06105006105006105
1649,2064,La Maison de la Solidarité,1.0,92,0.06105006105006105
1648,2063,Espace famille Lamartine (Centre social),1.0,92,0.06105006105006105
2731,3295,Croix-Rouge des Hauts-de-Seine - Unité locale de Vanves-Malakoff,1.0,92,0.06105006105006105
2442,2887,Relais social de Valenton,1.0,94,0.06105006105006105
1642,2057,Association UNIS VERS CITES - Centre social et culturel LA TRAVERSE,1.0,92,0.06105006105006105
2434,2879,PIJ de Limeil-Brévannes,1.0,94,0.06105006105006105
2439,2884,PIJ de Villeneuve-le-Roi,1.0,94,0.06105006105006105
1641,2055,"Croix-Rouge Française - Epicerie sociale ""La Ruche""",1.0,92,0.06105006105006105
1640,2054,Département des Hauts-de-Seine,1.0,92,0.06105006105006105
2736,3301,Centre Social des Portes du Midi,1.0,94,0.06105006105006105
2741,3306,PIJ de Vitry-sur-Seine,1.0,94,0.06105006105006105
2742,3307,AFL Bordeaux Nord,1.0,33,0.06105006105006105
2744,3309,Unité locale de Sucy en Brie / Limeil Brévannes / Boissy Saint Léger / Marolles en Brie / Périgny / Villecresnes / Mandres les Roses / Santeny - Croix-Rouge Française,1.0,94,0.06105006105006105
2763,3329,La Station,1.0,67,0.06105006105006105
1605,2018,PAD Rosa Parks Asnières,1.0,92,0.06105006105006105
1536,1948,PASS de l'Hôpital Corentin Celton,1.0,92,0.06105006105006105
1603,2015,Petits frères des pauvres,1.0,92,0.06105006105006105
2781,3352,PIJ - Ville Le Plessis-Trévise,1.0,94,0.06105006105006105
1569,1981,Hôpital Louis-Mourier AP-HP,1.0,92,0.06105006105006105
2787,3362,Ville de Cergy,1.0,95,0.06105006105006105
2788,3364,Visages du Monde de cergy,1.0,95,0.06105006105006105
1563,1975,Ville de Villeneuve-la-Garenne - PAD,1.0,92,0.06105006105006105
1561,1973,Ville de Clichy-la-Garenne - PAD,1.0,92,0.06105006105006105
1560,1972,Ville de Courbevoie - PAD,1.0,92,0.06105006105006105
854,1105,Centre d'action sociale protestant (CASP) et œuvre de secours aux enfants (OSE),1.0,75,0.06105006105006105
1552,1964,Mission Locale de Clichy,1.0,92,0.06105006105006105
1549,1961,Vallée Sud Emploi,1.0,92,0.06105006105006105
1546,1958,Oppelia,1.0,92,0.06105006105006105
1545,1957,Centre Hospitalier des Quatres Villes Sèvres,1.0,92,0.06105006105006105
1542,1954,CSAPA Bagneux,1.0,92,0.06105006105006105
2802,3378,Armée du Salut (06),1.0,06,0.06105006105006105
1540,1952,Etablissement public de santé ERASME,1.0,92,0.06105006105006105
2803,3379,Bien-être en Yvelines,1.0,78,0.06105006105006105
2804,3380,Croix-Rouge des Hauts-de-Seine - Unité locale de Nanterre,1.0,92,0.06105006105006105
1574,1986,Ville de Boulogne- Billancourt,1.0,92,0.06105006105006105
1577,1989,CCAS de Châtillon,1.0,92,0.06105006105006105
2421,2866,Espace Départemental des Solidarités Val-de-Marne,1.0,94,0.06105006105006105
2425,2870,PIJ du Kremlin-Bicêtre,1.0,94,0.06105006105006105
1602,2014,AFED 92,1.0,92,0.06105006105006105
2429,2874,PIJ de Fresnes,1.0,94,0.06105006105006105
2767,3333,Basiliade | Dessine moi un mouton,1.0,75,0.06105006105006105
2768,3334,Epicerie solidaire Totem,1.0,44,0.06105006105006105
1597,2009,Paroisse Saint Maxime d'Antony,1.0,92,0.06105006105006105
2769,3335,CROUS de Créteil,1.0,94,0.06105006105006105
1595,2007,Croix-Rouge des Hauts-de-Seine - Unité locale de Sceaux,1.0,92,0.06105006105006105
2067,2493,"FIT - Une femme, un Toit",1.0,93,0.06105006105006105
1582,1994,L'Etoile Solidaire,1.0,92,0.06105006105006105
1592,2004,Croix-Rouge française - Unité Locale de Bagneux,1.0,92,0.06105006105006105
2771,3337,Banque Alimentaire des Bouches-du-Rhône,1.0,13,0.06105006105006105
1590,2002,Croix-Rouge des Hauts-de-Seine - Unité locale de Châtillon,1.0,92,0.06105006105006105
1588,2000,Ville de Chatillon - CSC Guynemer,1.0,92,0.06105006105006105
1586,1998,Restos du Coeur des Hauts-de-Seine - Camion 92,1.0,92,0.06105006105006105
1585,1997,Entraide Familiale de Boulogne,1.0,92,0.06105006105006105
1584,1996,L'Entraide d'Asnières Bois-Colombes,1.0,92,0.06105006105006105
1555,1967,Maison de l'emploi Nanterre,1.0,92,0.06105006105006105
1896,2316,CSAPA Docteur Pesqué,1.0,93,0.06105006105006105
3250,3881,MSA Provence Azur (06),1.0,06,0.06105006105006105
213,264,Centre hospitalier Pellegrin,1.0,33,0.06105006105006105
584,689,Dclic,1.0,44,0.06105006105006105
164,200,La Maison de Simone,1.0,33,0.06105006105006105
3383,4027,Filles et fils de la République,1.0,94,0.06105006105006105
165,201,La Maison des Femmes de Bordeaux,1.0,33,0.06105006105006105
582,686,Centre d'Examens de Santé - Assurance Maladie,1.0,44,0.06105006105006105
3664,4322,Recherche et Thérapies,1.0,75,0.06105006105006105
170,207,Le Garage Moderne,1.0,33,0.06105006105006105
577,679,Vivre Libre 44,1.0,44,0.06105006105006105
3661,4319,CCAS de Saint-Cannat,1.0,13,0.06105006105006105
3660,4318,Association Mir (06),1.0,06,0.06105006105006105
570,670,Edit de Nantes Habitat Jeunes,1.0,44,0.06105006105006105
569,669,La cocotte solidaire,1.0,44,0.06105006105006105
175,212,Association Nationale Le Refuge,1.0,33,0.06105006105006105
176,213,Le Relais Talençais,1.0,33,0.06105006105006105
3658,4316,Maison Pour Tous / CS Belle de Mai,1.0,13,0.06105006105006105
3382,4026,CCAS de Mouans-Sartoux (06),1.0,06,0.06105006105006105
586,691,CEMEA Pays de la Loire,1.0,44,0.06105006105006105
587,692,Chacha restaurant,1.0,44,0.06105006105006105
596,701,Envie 44 Saint-Herblain,1.0,44,0.06105006105006105
155,190,Association Métamorphose,1.0,33,0.06105006105006105
3372,4016,Chanodé,1.0,33,0.06105006105006105
601,708,Au bonheur des bennes,1.0,44,0.06105006105006105
3375,4019,Adie 95,1.0,95,0.06105006105006105
598,703,Mairie de Nantes,1.0,44,0.06105006105006105
3376,4020,Première Urgence Internationale,1.0,93,0.06105006105006105
595,700,Envie 44 Saint-Nazaire,1.0,44,0.06105006105006105
588,693,Mouvement contre le Racisme et pour l'Amitié entre les Peuples,1.0,44,0.06105006105006105
156,191,Graines de Solidarité,1.0,33,0.06105006105006105
592,697,Cybercentre Bouguenais,1.0,44,0.06105006105006105
3671,4329,L'Îlot,1.0,75,0.06105006105006105
3668,4326,Accueil fraternel 94,1.0,94,0.06105006105006105
161,197,L'Atelier Remuménage,1.0,33,0.06105006105006105
162,198,Association l'épicerie solidaire,1.0,33,0.06105006105006105
178,215,Les P'tits Gratteurs,1.0,33,0.06105006105006105
566,666,Association Aurore,1.0,44,0.06105006105006105
3657,4315,Les compagnons bâtisseurs IDF ,1.0,95,0.06105006105006105
3639,4296,MAAVAR Marseille,1.0,13,0.06105006105006105
545,640,Point Justice du Vignoble nantais,1.0,44,0.06105006105006105
3641,4298,CCAS de Grans,1.0,13,0.06105006105006105
542,636,La Maison de Marthe et Marie,1.0,44,0.06105006105006105
202,246,Mission locale des Hauts de Garonne,1.0,33,0.06105006105006105
536,628,Service de la cardie,1.0,44,0.06105006105006105
204,248,Mission locale de Talence,1.0,33,0.06105006105006105
3638,4295,CCAS de Berre L'Étang,1.0,13,0.06105006105006105
3643,4300,Centre socioculturel de la Montagne verte,1.0,67,0.06105006105006105
3415,4059,Association Coeur d'échange,1.0,77,0.06105006105006105
531,623,MDPH 44,1.0,44,0.06105006105006105
207,254,Mission Locale Technowest,1.0,33,0.06105006105006105
3637,4294,Dispositif IOD - Seine-et-Marne Attractivité,1.0,77,0.06105006105006105
528,619,Association Dynamixt,1.0,44,0.06105006105006105
3418,4062,Association Melisa,1.0,77,0.06105006105006105
199,242,Mission locale antenne de Gradignan,1.0,33,0.06105006105006105
3404,4048,Association de Conseil et d'Insertion (ACI),1.0,95,0.06105006105006105
180,217,CACIS,1.0,33,0.06105006105006105
183,220,Association la Halle des Douves,1.0,33,0.06105006105006105
563,663,La Ressourcerie de l'île,1.0,44,0.06105006105006105
561,661,Association Regart's,1.0,44,0.06105006105006105
560,660,Nantes Écologie,1.0,44,0.06105006105006105
557,657,Nous and co,1.0,44,0.06105006105006105
3655,4313,Équipe Saint-Vincent - Bonneveine / Notre-Dame des Neiges,1.0,13,0.06105006105006105
556,656,Droit au logement 44 (DAL44),1.0,44,0.06105006105006105
3654,4312,UD DRIHL 92,1.0,92,0.06105006105006105
3403,4047,CCAS de Fontainebleau,1.0,77,0.06105006105006105
553,648,Association Alter'Boutik,1.0,44,0.06105006105006105
3652,4310,Association Yes We Camp,1.0,13,0.06105006105006105
187,227,Médiathèque François Mitterrand d'Ambès,1.0,33,0.06105006105006105
550,645,Mouvement du nid,1.0,44,0.06105006105006105
191,231,Ludomédiathèque de Cenon,1.0,33,0.06105006105006105
3647,4304,Maison des Droits des Femmes de Mitry-Mory,1.0,77,0.06105006105006105
3674,4332,Maison des Habitants Georges Pompidou,1.0,95,0.06105006105006105
3368,4012,ETT | SUEZ  RV REBOND INTERIM INSERTION,1.0,75,0.06105006105006105
153,188,Entre Acte,1.0,33,0.06105006105006105
658,887,Ville de Strasbourg,1.0,67,0.06105006105006105
3699,4358,Association Travail Entraide 77,1.0,77,0.06105006105006105
663,892,Association Mimir,1.0,67,0.06105006105006105
662,891,Association La Cloche,1.0,67,0.06105006105006105
661,890,CIRDD Alsace,1.0,67,0.06105006105006105
660,889,Savoirs pour réussir Grand Est,1.0,67,0.06105006105006105
659,888,CDAD 67 - Conseil Départemental de l'Accès au Droit,1.0,67,0.06105006105006105
123,143,CCAS de Pessac,1.0,33,0.06105006105006105
665,894,Equipe Saint-Vincent,1.0,67,0.06105006105006105
3334,3972,Association Humanité Sans Faim,1.0,77,0.06105006105006105
653,882,Centre Médical et Dentaire MGEN,1.0,67,0.06105006105006105
649,878,Association LIANES,1.0,67,0.06105006105006105
3698,4357,Préfecture de Corse,1.0,2A,0.06105006105006105
3338,3978,Association Réseau Ville Hôpital 77 Sud,1.0,77,0.06105006105006105
3697,4356,Union des Assyro-Chaldéens d'Arnouville (UACF),1.0,95,0.06105006105006105
664,893,Les Petites Cantines,1.0,67,0.06105006105006105
666,895,Collectif pour l'Accueil des Solliciteurs d'Asile à Strasbourg - CASAS,1.0,67,0.06105006105006105
126,148,Centre LGBT Bordeaux Aquitaine,1.0,33,0.06105006105006105
678,907,LUPOVINO (LUtte POur une VIe NOrmale),1.0,67,0.06105006105006105
684,913,Association Tremplin Neuhof,1.0,67,0.06105006105006105
682,911,Communauté de paroisses Catholiques,1.0,67,0.06105006105006105
681,910,Bonheur d'un Sourire,1.0,67,0.06105006105006105
680,909,Association SOS Aide aux Habitants France VICTIMES 67,1.0,67,0.06105006105006105
114,134,Mairie de Talais,1.0,33,0.06105006105006105
679,908,Association Kodiko,1.0,67,0.06105006105006105
674,903,MDPH 67,1.0,67,0.06105006105006105
667,896,Paroisse du Temple Neuf,1.0,67,0.06105006105006105
3707,4366,Domiciliation Aurore 93,1.0,93,0.06105006105006105
3704,4363,"Association Ateliers pour l’Initiation, la Production et l’Insertion - AIPI",1.0,77,0.06105006105006105
672,901,Association La RESU,1.0,67,0.06105006105006105
671,900,Communauté Emmaüs Strasbourg,1.0,67,0.06105006105006105
669,898,La Cimade,1.0,67,0.06105006105006105
668,897,Themis,1.0,67,0.06105006105006105
3340,3980,ACINA 91,1.0,91,0.06105006105006105
3341,3981,ARDEUR Neuilly,1.0,92,0.06105006105006105
3675,4333,Médiance 13,1.0,13,0.06105006105006105
3356,3999,Coallia 77,1.0,77,0.06105006105006105
3686,4344,CCAS de Lançon-Provence,1.0,13,0.06105006105006105
623,737,Hom'less,1.0,44,0.06105006105006105
141,174,Croix Rouge Française,1.0,33,0.06105006105006105
142,175,Diaconat de Bordeaux,1.0,33,0.06105006105006105
3682,4340,ATD Quart Monde,1.0,13,0.06105006105006105
620,734,L'Hirondelle Syrienne,1.0,44,0.06105006105006105
3680,4338,Association AVEC ,1.0,13,0.06105006105006105
138,171,CRIJ NA - Bordeaux,1.0,33,0.06105006105006105
3358,4001,AFEV 95,1.0,95,0.06105006105006105
3363,4007,SOLACMI (Solidarité Accompagnement Migrants),1.0,33,0.06105006105006105
148,183,Espace Familial La Parentèle,1.0,33,0.06105006105006105
3365,4009,ville de Soisy-sous-Montmorency - Centre Sociaux Municipaux,1.0,95,0.06105006105006105
149,184,Etu'Récup,1.0,33,0.06105006105006105
3676,4334,Collectif Des Habitant.es Organisé.es du 3eme ( C.H.O.3),1.0,13,0.06105006105006105
3687,4345,CCAS de Corbeil-Essonnes,1.0,91,0.06105006105006105
627,756,Société Saint-Vincent-de-Paul | Société Saint-Vincent-de-Paul Saint-Gildas-des-Bois,1.0,44,0.06105006105006105
3694,4352,Paroles de Femmes Le Relais,1.0,91,0.06105006105006105
636,793,CHU Nantes | Centre Médico-Psychologique (CMP) Beaumanoir,1.0,44,0.06105006105006105
3343,3983,Association Dir el Kheir,1.0,92,0.06105006105006105
129,151,Ville de Talence,1.0,33,0.06105006105006105
3344,3984,CCAS de Roquebrune Cap Martin (06),1.0,06,0.06105006105006105
3691,4349,CCAS de Fos-sur-Mer,1.0,13,0.06105006105006105
3345,3985,Maison de la Justice et du Droit de Meaux,1.0,77,0.06105006105006105
132,154,La Cabane à Projets - Centre socioculturel intercommunal du Créonnais,1.0,33,0.06105006105006105
3347,3987,Point d'Accès aux Droits de Coulommiers,1.0,77,0.06105006105006105
3351,3992,GRETA,1.0,95,0.06105006105006105
134,158,Clubhouse France,1.0,33,0.06105006105006105
3689,4347,A.D.R.I.M,1.0,13,0.06105006105006105
3688,4346,Secours Catholique - Délégation de Marseille,1.0,13,0.06105006105006105
633,781,O.C.E.A.N,1.0,44,0.06105006105006105
137,170,Club Régional d'Entreprises Partenaires de l'Insertion,1.0,33,0.06105006105006105
630,762,Arbres,1.0,44,0.06105006105006105
212,263,Pass'Mirail,1.0,33,0.06105006105006105
214,266,PIMMS de Bordeaux Métropole,1.0,33,0.06105006105006105
686,915,SNCF,1.0,67,0.06105006105006105
3419,4063,Harpèges (06),1.0,06,0.06105006105006105
3523,4170,Maison de justice et du droit Paris-Saclay,1.0,91,0.06105006105006105
3592,4247,ARS Association pour la Réadaptation Sociale - CHRS,1.0,13,0.06105006105006105
3525,4172,Association APEFEM,1.0,33,0.06105006105006105
3527,4174,Association Léa Solidarité Femmes,1.0,91,0.06105006105006105
3530,4177,Sinacté,1.0,77,0.06105006105006105
308,373,Solidarité FemmeS Loire-Atlantique,1.0,44,0.06105006105006105
3531,4178,AGEP (Association Girondine Education spécialisée et Prévention sociale),1.0,33,0.06105006105006105
396,484,Commune de Vair Sur Loire,1.0,44,0.06105006105006105
3534,4181,CCAS Mée-sur-Seine,1.0,77,0.06105006105006105
392,480,Trocantons,1.0,44,0.06105006105006105
310,376,Hepdalé | Laveries,1.0,44,0.06105006105006105
311,380,Saint-Benoît Labre | AFEP – Accueil des Familles Etrangères en situation de Précarité,1.0,44,0.06105006105006105
3539,4186,Maison de la Justice et du Droit de Sénart,1.0,77,0.06105006105006105
3540,4187,Enipse (06),1.0,06,0.06105006105006105
3541,4188,PLIE Portes du Sud (Plan Local pour l'Insertion et l'Emploi),1.0,33,0.06105006105006105
306,370,Solidarité Estuaire,1.0,44,0.06105006105006105
3519,4166,Emmaüs SOS Familles - Yvelines,1.0,78,0.06105006105006105
304,368,Un brin de causette,1.0,44,0.06105006105006105
293,355,Oxygem,1.0,33,0.06105006105006105
283,345,La Cimade,1.0,33,0.06105006105006105
425,513,Ville de Donges,1.0,44,0.06105006105006105
284,346,Réseau Paul Bert -centre social et culturel,1.0,33,0.06105006105006105
287,349,Association La Passerelle,1.0,33,0.06105006105006105
289,351,Régie de quartier habiter Bacalan,1.0,33,0.06105006105006105
292,354,France Terre d'Asile,1.0,33,0.06105006105006105
3598,4255,AFL67 (CDAFAL67),1.0,67,0.06105006105006105
303,365,Association Anef Ferrer,1.0,44,0.06105006105006105
3511,4158,Petits Frères des Pauvres - Délégation Sud Ouest,1.0,33,0.06105006105006105
297,359,Emmaüs Communauté Parempuyre,1.0,33,0.06105006105006105
3513,4160,CCAS de Ris-Orangis,1.0,91,0.06105006105006105
298,360,France Services Reolais en Sud Gironde,1.0,33,0.06105006105006105
3514,4161,Association Ressources,1.0,91,0.06105006105006105
3594,4250,Recyclo'Milles,1.0,13,0.06105006105006105
3542,4189,École de la deuxième chance (E2C) - Val d'Oise,1.0,95,0.06105006105006105
384,469,CCAS de Basse-Goulaine,1.0,44,0.06105006105006105
313,383,Les Petits frères des Pauvres,1.0,44,0.06105006105006105
3573,4227,Les Astroliens,1.0,75,0.06105006105006105
3580,4234,ASC Familles en action,1.0,13,0.06105006105006105
327,402,Le pas,1.0,44,0.06105006105006105
3569,4220,La Fraternité de la Belle de mai,1.0,13,0.06105006105006105
329,404,Entraid’addict,1.0,44,0.06105006105006105
330,405,ANADE,1.0,44,0.06105006105006105
343,422,Pôle emploi,1.0,44,0.06105006105006105
341,419,CIMADE,1.0,44,0.06105006105006105
350,430,Emmaüs,1.0,44,0.06105006105006105
340,418,Museum d'histoire naturelle,1.0,44,0.06105006105006105
332,409,ACCOORD,1.0,44,0.06105006105006105
3577,4231,Association des Centres Educatifs Charles-Péguy,1.0,95,0.06105006105006105
339,417,Musée d'arts de Nantes,1.0,44,0.06105006105006105
338,416,La fraternité,1.0,44,0.06105006105006105
335,413,Ordre de Malte,1.0,44,0.06105006105006105
349,429,Centre social recherche et rencontres,1.0,44,0.06105006105006105
352,432,CFP Presqu'ile,1.0,44,0.06105006105006105
379,464,L'Autre cantine,1.0,44,0.06105006105006105
370,452,Marraines et vous,1.0,44,0.06105006105006105
376,461,CIDFF,1.0,44,0.06105006105006105
375,459,Le Planning Familial - 44,1.0,44,0.06105006105006105
3549,4199,ASASP,1.0,94,0.06105006105006105
315,385,Oppelia - Le triangle,1.0,44,0.06105006105006105
372,454,SOS Inceste & Violences Sexuelles 44,1.0,44,0.06105006105006105
371,453,Habitat et Humanisme Loire-Atlantique,1.0,44,0.06105006105006105
3554,4204,Association Coup de Pouce,1.0,91,0.06105006105006105
3567,4218,Horizon 78,1.0,78,0.06105006105006105
321,395,France terre d'asile,1.0,44,0.06105006105006105
3558,4208,Service Vie associative et citoyenne - Ville de Melun,1.0,77,0.06105006105006105
3559,4209,La Maison Valeuropéenne,1.0,77,0.06105006105006105
3563,4213,L'Eclaircie,1.0,94,0.06105006105006105
3582,4236,Association Les Hortensias,1.0,13,0.06105006105006105
324,398,Repère de La Cloche - Carillon,1.0,44,0.06105006105006105
3604,4261,Ecole de la deuxième chance (E2C),1.0,95,0.06105006105006105
280,342,Mairie de Talence,1.0,33,0.06105006105006105
3605,4262,Vendredi 13,1.0,13,0.06105006105006105
3441,4085,SIAO 67,1.0,67,0.06105006105006105
3435,4079,Casin (06),1.0,06,0.06105006105006105
505,596,Ville de Sautron,1.0,44,0.06105006105006105
3437,4081,Mairie de Tournan-en-Brie,1.0,77,0.06105006105006105
232,285,Caan'abus Bordeaux,1.0,33,0.06105006105006105
3439,4083,Mairie de la Ferté-sous-Jouarre,1.0,77,0.06105006105006105
3440,4084,Dynamots,1.0,33,0.06105006105006105
498,589,Ville de Landreau,1.0,44,0.06105006105006105
3431,4075,Mairie de Champs-sur-Marne,1.0,77,0.06105006105006105
497,588,Ville de la Turballe,1.0,44,0.06105006105006105
234,287,Association le 4 de Bordeaux Siège social,1.0,33,0.06105006105006105
494,585,Ville de Saint-Lyphard,1.0,44,0.06105006105006105
492,583,Adil 44,1.0,44,0.06105006105006105
488,579,Ville de Saint-Jean-de-Boiseau,1.0,44,0.06105006105006105
3449,4095,AIDES Nice (06),1.0,06,0.06105006105006105
228,281,Emmaüs Connect,1.0,33,0.06105006105006105
512,603,Ville de Vieillevigne,1.0,44,0.06105006105006105
238,295,Maison des adolescents,1.0,33,0.06105006105006105
520,611,Ville du Pouliguen,1.0,44,0.06105006105006105
217,270,RepEyre la recyclerie associative du Val de l'Eyre,1.0,33,0.06105006105006105
3634,4291,Horizons 91,1.0,91,0.06105006105006105
524,615,Association santé migrant Loire Atlantique (ASAMLA),1.0,44,0.06105006105006105
219,272,Résidence Rosa Parks,1.0,33,0.06105006105006105
220,273,Groupe d'Entraide Mutuelle (GEM),1.0,33,0.06105006105006105
3633,4290,CSC Au-delà Des Ponts,1.0,67,0.06105006105006105
519,610,Ville du Pellerin,1.0,44,0.06105006105006105
227,280,Association Promofemmes Saint-Michel,1.0,33,0.06105006105006105
3632,4289,Régie des Quartiers Les Portes de l'Essonne,1.0,91,0.06105006105006105
3631,4288,DDETS Var,1.0,83,0.06105006105006105
3426,4070,Pôle Santé des Moulins (06),1.0,06,0.06105006105006105
3427,4071,CCAS de Compans,1.0,77,0.06105006105006105
224,277,SVS,1.0,33,0.06105006105006105
226,279,VICT'AID - Institut Don Bosco,1.0,33,0.06105006105006105
485,576,Ville de Saint-Etienne-de-Montluc,1.0,44,0.06105006105006105
239,296,CDAFAL 33,1.0,33,0.06105006105006105
278,340,Mission locale des Graves (Siège social),1.0,33,0.06105006105006105
3613,4270,Les Paniers Solidaires Nord Alpilles,1.0,13,0.06105006105006105
263,321,La maison des familles,1.0,33,0.06105006105006105
264,322,La Cloche,1.0,33,0.06105006105006105
3480,4127,APREVA,1.0,33,0.06105006105006105
265,324,La Cravate solidaire,1.0,33,0.06105006105006105
3482,4129,Association SOS Femmes,1.0,77,0.06105006105006105
3483,4130,Fédération Entraide Protestante (FEP),1.0,75,0.06105006105006105
3612,4269,SSVP - Société Saint Vincent de Paul des Bouches-du-Rhône,1.0,13,0.06105006105006105
261,319,Société Saint Vincent de Paul,1.0,33,0.06105006105006105
444,534,Ville de La Grigonnais,1.0,44,0.06105006105006105
270,329,La CASE,1.0,33,0.06105006105006105
3609,4266,L'accueil Bienheureux Gérard - Ordre de Malte,1.0,13,0.06105006105006105
272,332,Centre d'Information Droits des Femmes et des Familles Gironde,1.0,33,0.06105006105006105
3492,4139,Les Coteaux Paysage,1.0,33,0.06105006105006105
277,338,CCAS de Floirac,1.0,33,0.06105006105006105
262,320,Mairie de Bordeaux,1.0,33,0.06105006105006105
258,316,HAJPL  (Association),1.0,33,0.06105006105006105
3625,4282,CCAS de Salon-de-Provence,1.0,13,0.06105006105006105
3622,4279,Du pain et des roses - Nantes,1.0,44,0.06105006105006105
3454,4100,CCAS de Limours-en-Hurepoix,1.0,91,0.06105006105006105
478,568,CH Châteaubriant-Nozay-Pouancé,1.0,44,0.06105006105006105
241,299,Secours Catholique Caritas France Gironde,1.0,33,0.06105006105006105
243,301,CASO de Bordeaux,1.0,33,0.06105006105006105
245,303,Centre social Foyer fraternel,1.0,33,0.06105006105006105
470,560,Ville de Pornichet,1.0,44,0.06105006105006105
3621,4278,Secours Catholique,1.0,15,0.06105006105006105
257,315,Oxygène,1.0,33,0.06105006105006105
465,555,Ville de Piriac-sur-mer,1.0,44,0.06105006105006105
3619,4276,Station Lumière,1.0,13,0.06105006105006105
3618,4275,Istres Solidarité,1.0,13,0.06105006105006105
252,310,Espoir Bordeaux Rive Droite,1.0,33,0.06105006105006105
253,311,Atelier Graphite,1.0,33,0.06105006105006105
3616,4273,Les Paniers Solidaires - Association Intercommunale d'Entraide - Plan d'Orgon,1.0,13,0.06105006105006105
3711,4371,Ville de Paris | Direction des familles et de la petite enfance,1.0,75,0.06105006105006105
3574,4228,Les Restos du Cœur de l'Essonne - AD91,1.0,91,0.06105006105006105
3781,4444,ENVIE Trappes,1.0,78,0.06105006105006105
719,948,Association Foyer Notre Dame,1.0,67,0.06105006105006105
722,951,Équipes Saint Vincent Permanence Oberkampf,1.0,75,0.06105006105006105
22,40,Mairie du Haillan,1.0,33,0.06105006105006105
725,954,ACAT (Action des chrétiens pour l'abolition de la torture),1.0,75,0.06105006105006105
3274,3907,France Services,1.0,94,0.06105006105006105
726,955,ACB (Association de culture berebère),1.0,75,0.06105006105006105
804,1044,Ateliers Pluriculturels,1.0,75,0.06105006105006105
803,1043,Association Solidarité Roquette,1.0,75,0.06105006105006105
802,1042,ESI Georgette Agutte,1.0,75,0.06105006105006105
730,959,Accueil Laghouat,1.0,75,0.06105006105006105
731,960,Accueil Solidarité Saint Augustin,1.0,75,0.06105006105006105
3752,4415,SCALIS - POLYLOGIS,1.0,36,0.06105006105006105
3753,4416,Maison de Justice et du Droit Etampes,1.0,91,0.06105006105006105
735,969,ADIL 75,1.0,75,0.06105006105006105
3314,3951,Mission Locale EST 06,1.0,06,0.06105006105006105
797,1037,Association Onze Mille Potes,1.0,75,0.06105006105006105
796,1036,Association Nationale de Réadaptation Sociale,1.0,75,0.06105006105006105
737,971,ADSF,1.0,75,0.06105006105006105
739,974,AFIF (Association pour la formation et l'intégration des familles ),1.0,75,0.06105006105006105
3280,3913,Coup de Pouce (06),1.0,06,0.06105006105006105
806,1046,"ATMF, Dom’Asile, ELENA, le GISTI et la CIMADE",1.0,75,0.06105006105006105
3744,4407,Inseraction 76,1.0,76,0.06105006105006105
792,1032,MAG Jeunes LGBT+,1.0,75,0.06105006105006105
808,1048,Au bagage du canal,1.0,75,0.06105006105006105
821,1065,"Aux Captifs, la Libération | Antenne de Paris 12 (Immaculée Conception)",1.0,75,0.06105006105006105
710,939,Association ABRIBUS,1.0,67,0.06105006105006105
820,1064,"Aux Captifs, la Libération | Accueil Sainte Rita/Bakhita (Chapelle Sainte Rita)",1.0,75,0.06105006105006105
711,940,Hôpitaux Universitaires de Strasbourg,1.0,67,0.06105006105006105
712,941,AFGES,1.0,67,0.06105006105006105
3734,4397,Union Régionale des Structures d'Insertion par l'Economique d'Alsace,1.0,67,0.06105006105006105
3735,4398,Conférence Saint Jean Baptiste Saint Nicolas - Société Saint-Vincent de Paul,1.0,94,0.06105006105006105
819,1062,"Aux captifs, la libération | Accueil Lazarre",1.0,75,0.06105006105006105
817,1059,Aurore | Restaurant social Santeuil,1.0,75,0.06105006105006105
714,943,Ordre de Malte,1.0,67,0.06105006105006105
84,103,Mairie du Bouscat,1.0,33,0.06105006105006105
4011,4681,Aurore - CAIR (Centre d'Accueil et d'Intégration des Réfugiés),1.0,75,0.06105006105006105
716,945,Association d'Accueil et d'Hébergement pour les Jeunes,1.0,67,0.06105006105006105
19,34,Association Rénovation,1.0,33,0.06105006105006105
